Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,tconst,has_omdb_data,Season,Episode,seriesID,totalSeasons
White Chicks,2004,PG-13,23 Jun 2004,109 min,"Comedy, Crime",Keenen Ivory Wayans,"Keenen Ivory Wayans, Shawn Wayans, Marlon Wayans","Marlon Wayans, Shawn Wayans, Busy Philipps",Two disgraced FBI agents go way undercover in an effort to protect hotel heiresses the Wilson sisters from a kidnapping plot.,English,United States,3 wins & 13 nominations total,https://m.media-amazon.com/images/M/MV5BMTY3OTg2OTM3OV5BMl5BanBnXkFtZTYwNzY5OTA3._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '15%'}, {'Source': 'Metacritic', 'Value': '41/100'}]",41,5.9,"190,250",tt0381707,movie,N/A,"$70,831,760",N/A,N/A,True,tt0381707,True,,,,
Lucky Number Slevin,2006,R,07 Apr 2006,110 min,"Crime, Drama, Thriller",Paul McGuigan,Jason Smilovic,"Josh Hartnett, Ben Kingsley, Morgan Freeman","A case of mistaken identity lands Slevin into the middle of a war being plotted by two of the city's rival crime bosses. Under constant surveillance by Detective Brikowski and assassin Goodkat, he must get them before they get him.",English,"United Kingdom, Germany, Canada, United States",5 wins & 4 nominations total,https://m.media-amazon.com/images/M/MV5BNzJkYjA4YjEtMTZlZi00NjFjLTgwNDMtN2VhYTY0MDU3ZjcwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Metacritic', 'Value': '53/100'}]",53,7.7,"337,898",tt0425210,movie,26 Sep 2006,"$22,495,466",N/A,N/A,True,tt0425210,True,,,,
Prison Break,2008,N/A,10 Jan 2008,N/A,"Short, Comedy",Matt Bettinelli-Olpin,"Matt Bettinelli-Olpin, Jonah Goldstein, Rob Polonsky","Chad Villella, Matt Bettinelli-Olpin, Rob Polonsky",A brutal and unforgiving look at life within the harrowing walls of America's prison system.,English,United States,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '8.5/10'}]",N/A,8.5,200,tt2161664,movie,N/A,N/A,N/A,N/A,True,tt2161664,True,,,,
How I Met Your Mother,2014,TV-PG,27 Mar 2014,43 min,Talk-Show,N/A,N/A,"James Lipton, Josh Radnor, Cobie Smulders","Josh Radnor, Neil Patrick Harris, Alyson Hannigan, Jason Segel, and Cobie Smulders join Lipton to discuss the nine-year history of this beloved comedy. Find out which scene each cast member chose as their favourite, who answers an...",N/A,N/A,N/A,https://m.media-amazon.com/images/M/MV5BNWFlZmEwMDQtNGJjMy00MGE0LWJlNjItNTZhNDRlYThkOTgxXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_SX300.jpg,[],N/A,N/A,68,tt3615240,episode,,,,,True,tt3615240,True,20,2,tt0169455,
Supernatural,2016,N/A,17 Jun 2016,23 min,"Short, Adult",N/A,N/A,"Peter Baranyai, Xavi Duran",Muscular bottom Peter Baranyai (as Darius Ferdynand) plays a guest in a haunted hotel who enjoys an orgasmic ride on a well-endowed ghost played by Xavi Duran.,English,USA,N/A,N/A,[],N/A,N/A,N/A,tt10460848,movie,N/A,N/A,N/A,N/A,True,tt10460848,True,,,,
Breaking Bad,2013,N/A,23 Aug 2013,20 min,"Action, Adventure, Comedy, Fantasy",Ledger Gibbs,Ledger Gibbs,Ledger Gibbs,Mr.Gibbs attempts to walk into Mordor.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BOTA4NGRhNTEtZmQ3My00YzAzLWI0MmQtYzM5ZGEyNjg3MTJhXkEyXkFqcGdeQXVyNjY0ODg0MTA@._V1_SX300.jpg,[],N/A,N/A,N/A,tt12084802,episode,,,,,True,tt12084802,True,1,13,tt12081562,
The Walking Dead,2015,TV-PG,03 Feb 2015,41 min,"Action, Crime, Drama",Edward Ornelas,"Gary Glasberg, David Appelbaum","Scott Bakula, Lucas Black, Zoe McLellan","The team attempts to solve a murder before it takes place, after a Navy lieutenant commander discovers that he has been poisoned with a deadly amount of radiation.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTgzODk3MzAwNV5BMl5BanBnXkFtZTgwMDg2MjgzNDE@._V1_SX300.jpg,[],N/A,N/A,393,tt4338364,episode,,,,,True,tt4338364,True,1,13,tt3560084,
Pretty Little Liars,2016,N/A,04 Apr 2016,N/A,Reality-TV,"Sheila Rae, Carey Roberts",Carey Roberts,"Lindsay Albanese, Troian Bellisario, Ashley Benson, Anne T. Donahue","Ashley Benson, Lucy Hale, Shay Mitchell and Troian Bellisario make up TV's fabulous foursome known as the Pretty Little Liars. These fashion-forward high-schoolers band together to take on ...",N/A,N/A,N/A,https://m.media-amazon.com/images/M/MV5BMjE2Mzc2NDM0OV5BMl5BanBnXkFtZTgwOTU5NzM0NzE@._V1_SX300.jpg,[],N/A,N/A,N/A,tt5796704,episode,,,,,True,tt5796704,True,2,32,tt2576350,
Once Upon a Time,2016,N/A,30 May 2016,N/A,"Comedy, Drama, Mystery",N/A,Fahad Alestaa,N/A,N/A,N/A,N/A,N/A,https://m.media-amazon.com/images/M/MV5BYjY4YTY4OTktMDk4NS00NmZkLWE1YmUtY2FjM2U4ZDM3N2U2XkEyXkFqcGdeQXVyOTk1NTEzOQ@@._V1_SX300.jpg,[],N/A,N/A,N/A,tt10189820,episode,,,,,True,tt10189820,True,1,25,tt10189820,
Death Note,2006,Not Rated,17 Jun 2006,126 min,"Crime, Drama, Fantasy",Shûsuke Kaneko,"Tsugumi Ôba, Takeshi Obata, Tetsuya Oishi","Tatsuya Fujiwara, Ken'ichi Matsuyama, Asaka Seto","A battle between the world's two greatest minds begins when Light Yagami finds the Death Note, a notebook with the power to kill, and decides to rid the world of criminals.",Japanese,Japan,4 wins & 3 nominations total,https://m.media-amazon.com/images/M/MV5BYmRkNzYzOGMtNjM3Mi00NmZiLTg4MzMtZWVlOTRhZDY4ZDY0XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '78%'}]",N/A,7.5,"33,222",tt0758742,movie,N/A,N/A,N/A,N/A,True,tt0758742,True,,,,
