game_name,game_description_snippet,game_price,found_game_price,all_language_reviews_type,all_language_reviews_count,has_russian_reviews,all_russian_reviews_type,all_russian_reviews_count,first_release_date,genres,total_rating,total_rating_count,popularity_igdb,reviews_score,russian_reviews_score,has_external_platform
Hollow,"« Меня не интересовал этот корабль... комплекс... неважно, что именно. Мне пришлось... Что-то глубоко в мозгу, глубоко в плоти, прочно въелось внутрь...»",419.0,1.0,В основном отрицательные,231.0,0.0,Отзывы отсутствуют,0.0,2017-11-16,"Shooter, Puzzle, Adventure",50.0,3.0,2.0539262566e-05,3.0,0.0,True
Bloody Glimpse,"Bloody Glimpse will take you on a immersive journey through bloody and dark world, the one that you always dreamed of.",42.0,1.0,Смешанные,227.0,0.0,Отзывы отсутствуют,0.0,2017-09-29,Simulator,40.0,1.0,7.83934977e-07,5.0,0.0,True
"John, The Zombie","Welcome to Johnwood, a weird and mysterious place where scientists become zombies by accident, hardware stores sell frozen brains, people are hit by cars with no apparent reason and every citizen claims to have seen horses flying!",259.0,1.0,Смешанные,179.0,0.0,Отзывы отсутствуют,0.0,2017-11-22,Simulator,50.0,0.0,1.553492173e-06,5.0,0.0,True
After Death,"After Death is a platform / exploration game in a dark and hostile world. With the help from lost souls, you will have to find a way to open a gate which seems to be the only exit from this mysterious world infected by monsters.",299.0,1.0,Очень положительные,146.0,0.0,Отзывы отсутствуют,0.0,2017-10-05,Adventure,70.0,3.0,1.168713575e-05,8.0,0.0,False
Shadows of Kurgansk,"Shadows of Kurgansk — игра, в которой вам предстоит выжить в Зоне, населенной зомби и полной опасностей и загадок. Ваша главная цель – остаться в живых, сражаясь с монстрами и выполняя сюжетные миссии.Убивай зомби, строй убежища, найди дорогу домой!",200.0,1.0,Смешанные,197.0,0.0,Отзывы отсутствуют,0.0,2016-12-15,"Role-playing (RPG), Simulator, Adventure",50.0,0.0,0.0,5.0,0.0,False
Gauntlet of IRE,A 35 part obstacle course that is deceptively simple and infuriatingly obvious in the most difficult way.,0.0,1.0,В основном положительные,200.0,0.0,Отзывы отсутствуют,0.0,2017-12-15,UNDEFINED,70.0,0.0,0.0,7.0,0.0,False
Homeseek,"Homeseek — это постапокалиптическая стратегия с упором на выживание, действие которой разворачивается на опустошенной Земле начала следующего века. В засушливой пустыне, где вода ценится как золото, каждое решение может стать роковым. Лишь от вас зависит, выживут ли ваши подопечные.",880.0,1.0,Смешанные,188.0,0.0,Отзывы отсутствуют,0.0,2023-07-20,"Simulator, Strategy",80.0,1.0,1.6424929064e-05,5.0,0.0,False
[the Sequence],[the Sequence] is a logic construction puzzler.Let your mind be your guide: Lay down seven different kinds of modules as your roadblocks to get you (portrayed as a binary data point) to a sweet destination.Apply an out-of-the-box thinking to get you to the next level!,200.0,1.0,Очень положительные,151.0,0.0,Отзывы отсутствуют,0.0,2016-03-30,UNDEFINED,80.0,0.0,4.6748543e-06,8.0,0.0,False
XXZ: XXL,"Зомби-апокалипсис оказался несколько иным, чем его описывали фантасты. В зомби обращаются только женщины. День Z застал вас в одном из самых крупных стрип-клубов Лас-Вегаса. Вы собираете группу из трёх человек, чтобы вырваться из города.",240.0,1.0,В основном положительные,199.0,0.0,Отзывы отсутствуют,0.0,2017-08-30,Role-playing (RPG),70.0,1.0,6.543455229e-06,7.0,0.0,False
Spaceship Looter,"Spaceship Looter - игра жанра action roguelike, где наемники всех мастей грабят дрейфующие шхуны, потерянные транспортные корабли, заброшенные военные крейсера – все, что наполнено тоннами ценного лута и спрятано в глубинах космоса.",0.0,1.0,В основном положительные,230.0,0.0,Отзывы отсутствуют,0.0,2017-05-17,"Role-playing (RPG), Adventure",50.0,0.0,4.703609864e-06,7.0,0.0,False
VIDEOBALL,"VIDEOBALL — это спорт, в который могут играть все. Мы изучили баскетбол, футбол и американский футбол, шутеры от первого лица и стратегии в реальном времени. VIDEOBALL — это принципы игры всех видов спорта, компактно собранные вместе.",249.0,1.0,Очень положительные,160.0,0.0,Отзывы отсутствуют,0.0,2016-07-12,"Real Time Strategy (RTS), Sport, Strategy",60.69869290639208,14.0,1.7237619605e-05,8.0,0.0,False
Istanbul: Digital Edition,Официальная цифровая адаптация одной из лучших настольных игр в истории — Стамбул,1170.0,1.0,Очень положительные,253.0,0.0,Отзывы отсутствуют,0.0,2018-06-26,"Strategy, Card & Board Game",70.0,1.0,9.364086382e-06,8.0,0.0,False
🔴 Circles,"Circles – абстрактная игра, в которой ваш разум может отвлечься от предметов. Никаких слов, никаких отвлекающих факторов – приглашение к чистому эксперименту. Расслабьтесь и позвольте вашему разуму устремиться на поиски необычных свойств кругов.",0.0,1.0,Очень положительные,264.0,0.0,Отзывы отсутствуют,0.0,2017-02-17,Puzzle,70.0,3.0,1.567869955e-06,8.0,0.0,False
The Mind of Marlo,"Uniquely presented as an hour long documentary film, The Mind of Marlo is a narrative driven adventure game focusing on love, loss and silly heads. Laugh and cry with Marlo as he gets to the bottom of his life changing condition, known as Spontaneous Silly Head Syndrome.",0.0,1.0,Очень положительные,257.0,0.0,Отзывы отсутствуют,0.0,2017-10-19,Adventure,70.0,2.0,2.351804932e-06,8.0,0.0,False
Saviorless,"Saviorless – это стильный мрачный экшн-платформер в жанре фэнтези с прекрасной ручной графикой и анимацией, в котором два главных персонажа пытаются сбежать из проклятых земель, известных как Улыбчивые острова.",490.0,1.0,Очень положительные,260.0,0.0,Отзывы отсутствуют,0.0,2024-04-02,"Platform, Puzzle, Role-playing (RPG), Adventure",73.15563991323211,8.0,6.0947545162e-05,8.0,0.0,True
纸境英雄 Papercraft,"Papercraft is an independent game that beautifully combines Rouguelike, TBS and DBG elements. Heroes from legends holding different cards battle in TBS style. How to play the game is entirely up to you.",399.0,1.0,Очень положительные,223.0,0.0,Отзывы отсутствуют,0.0,2019-04-11,"Role-playing (RPG), Strategy, Turn-based strategy (TBS), Adventure",70.0,0.0,3.106984345e-06,8.0,0.0,False
Xsyon - Prelude,"Xsyon is a player driven apocalyptic fantasy sandbox MMORPG, set in a living and evolving environment. Players create the world they want to live in as they form tribes, construct towns, shape landscapes, create quests, hunt, farm, gather, build societies and develop a New World.",499.0,1.0,Смешанные,307.0,0.0,Отзывы отсутствуют,0.0,2014-12-29,"Role-playing (RPG), Adventure",60.0,0.0,3.890919322e-06,5.0,0.0,False
Shigatari,Shigatari is a samurai role-playing game with historical artwork.,79.0,1.0,Очень положительные,269.0,0.0,Отзывы отсутствуют,0.0,2017-08-25,Role-playing (RPG),70.0,0.0,0.0,8.0,0.0,False
Globesweeper,"Use logic to clear tiles while avoiding mines. Choose from tiny one minute globes to colossal hour long marathons. With hexagonal, square and triangle game modes this unforgiving puzzle game will keep you coming back for more.",125.0,1.0,Очень положительные,343.0,0.0,Отзывы отсутствуют,0.0,2019-02-12,Puzzle,70.0,1.0,1.566974965e-05,8.0,0.0,False
Дискетные рыцари,"Встречайте дискетных рыцарей! Это осязаемые проекции из дискет! Тактика и механики карточной игры помогают Фиби, блестящей юной изобретательнице, и ее лучшему другу-роборуке Карлтону решительно вступать в пошаговые битвы. Выберите рыцарей, соберите сильную колоду и следуйте стратегии до победы!",,0.0,Очень положительные,285.0,0.0,Отзывы отсутствуют,0.0,2022-05-24,"Strategy, Turn-based strategy (TBS), Tactical, Adventure, Card & Board Game",84.20974254790158,10.0,7.816316690500001e-05,8.0,0.0,True
